Name,H,H-D,H-R
intToBS,1,1,
test,3,,
fromFirstMaybes,2,,
firstJust,1,1,1
multiApp,1,1,1
singleList,2,2,1
head-tail,4,4,
head-rest,1,1,5
pred-match,3,4,4
splitStr,4,,
splitAtFirst,,,
hoogle01,1,1,1
hoogle02,1,3,4
firstMatch,2,5,3
firstMaybe,1,1,5
firstKey,1,1,5
firstRight,1,1,1
maybe,1,,
app3,,1,1
appendN,1,2,
flatten,1,1,2
takeNdropM,1,2,
lookup,1,1,3
mbElem,,,
containsEdge,,,
map,1,1,1
repl-funcs,1,1,2
mapMaybes,1,1,1
countFilter,2,4,4
mbAppFirst,1,3,4
applyNtimes,,,
pipe,3,,
indexesOf,,,
dotProduct,,,
