bm_name	bm_query	gen_exs	inf_typs	num_exs	rank	prefilter_counts	postfilter_counts	var_counts	arg_counts
appBoth	(a -> b) -> (a -> c) -> a -> (b, c)	(\x -> case x of "" -> 'Y'; "a" -> '\DEL'; "aa" -> '\ETX'; " " -> '\398406'; _ -> error "unhandled";) (\x -> case x of "" -> -2.236739008029931; "a" -> 2.6116479576517864; "aa" -> -3.3688062527948244; " " -> 3.436431273088195; _ -> error "unhandled";) "\1072278=" ==> ('Y',1.4994368130433853)	([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)	1	NO ANSWER	1754295	79124	3	3
			([Char] -> Char) -> ([Char] -> b1) -> [Char] -> (Char , b1)						
			([b1] -> b1) -> ([b1] -> Double) -> [b1] -> (b1 , Double)						
			([Char] -> Char) -> ([Char] -> Double) -> [Char] -> (Char , Double)						
			(Num c1) => ([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)						
			(Ord c1) => ([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)						
			(Eq c1) => ([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)						
			(Ord b1) => ([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)						
			(Eq b1) => ([b1] -> b1) -> ([b1] -> c1) -> [b1] -> (b1 , c1)						
			(Num b1) => ([Char] -> Char) -> ([Char] -> b1) -> [Char] -> (Char , b1)						
appBoth	(a -> b) -> (a -> c) -> a -> (b, c)	(\x -> case x of "" -> 'Y'; "a" -> '\DEL'; "aa" -> '\ETX'; " " -> '\398406'; _ -> error "unhandled";) (\x -> case x of "" -> -2.236739008029931; "a" -> 2.6116479576517864; "aa" -> -3.3688062527948244; " " -> 3.436431273088195; _ -> error "unhandled";) "\1072278=" ==> ('Y',1.4994368130433853)	(t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)	2	1	36864	4944	3	3
		(\x -> case x of 'a' -> 3.4203765297742375; ' ' -> 3.390075494960315; 'b' -> -2.950716435210862; 'A' -> -4.767553854502451; _ -> error "unhandled";) (\x -> case x of 'a' -> -2; ' ' -> 3; 'b' -> 4; 'A' -> -2; _ -> error "unhandled";) '\DC3' ==> (-10.067008688592711,-3)	(Eq t0) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t0) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t1) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t1) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t2) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Num t2) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Ord t2) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t0, Eq t1) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
			(Eq t0, Ord t1) => (t0 -> t1) -> (t0 -> t2) -> t0 -> (t1 , t2)						
appBoth	(a -> b) -> (a -> c) -> a -> (b, c)	(\x -> case x of "" -> 'Y'; "a" -> '\DEL'; "aa" -> '\ETX'; " " -> '\398406'; _ -> error "unhandled";) (\x -> case x of "" -> -2.236739008029931; "a" -> 2.6116479576517864; "aa" -> -3.3688062527948244; " " -> 3.436431273088195; _ -> error "unhandled";) "\1072278=" ==> ('Y',1.4994368130433853)	(t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)	3	1	36864	4944	3	3
		(\x -> case x of 'a' -> 3.4203765297742375; ' ' -> 3.390075494960315; 'b' -> -2.950716435210862; 'A' -> -4.767553854502451; _ -> error "unhandled";) (\x -> case x of 'a' -> -2; ' ' -> 3; 'b' -> 4; 'A' -> -2; _ -> error "unhandled";) '\DC3' ==> (-10.067008688592711,-3)	(Eq t0) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
		(\x -> case x of 'a' -> "\DC2\n"; ' ' -> ""; 'b' -> "\1003613"; 'A' -> "k "; _ -> error "unhandled";) (\x -> case x of 'a' -> 5; ' ' -> -8; 'b' -> -4; 'A' -> 3; _ -> error "unhandled";) '-' ==> ("",-4)	(Ord t0) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Eq t3) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Ord t3) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Eq t2) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Num t2) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Ord t2) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Eq t0, Eq t3) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
			(Eq t0, Ord t3) => (t0 -> t3) -> (t0 -> t2) -> t0 -> (t3 , t2)						
test	Bool -> a -> Maybe a	True '\FS' ==> Just '\FS'	Bool -> b1 -> Maybe (b1)	1	1	166	28	1	2
			Bool -> Char -> Maybe (Char)						
			(Eq b1) => b1 -> c1 -> Maybe (c1)						
			(Ord b1) => b1 -> c1 -> Maybe (c1)						
			(Ord b1) => Bool -> b1 -> Maybe (b1)						
			(Eq b1) => Bool -> b1 -> Maybe (b1)						
			(Eq b1) => b1 -> Char -> Maybe (Char)						
			(Ord b1) => b1 -> Char -> Maybe (Char)						
			(Eq b1, Ord c1) => b1 -> c1 -> Maybe (c1)						
			(Eq b1, Eq c1) => b1 -> c1 -> Maybe (c1)						
test	Bool -> a -> Maybe a	True '\FS' ==> Just '\FS'	Bool -> t0 -> Maybe (t0)	2	1	62	16	1	2
		True -5.057067153053356 ==> Just (-5.057067153053356)	t0 -> t0 -> Maybe (t0)						
			(Eq b1) => b1 -> t0 -> Maybe (t0)						
			(Ord b1) => b1 -> t0 -> Maybe (t0)						
			(Eq t0) => Bool -> t0 -> Maybe (t0)						
			(Ord t0) => Bool -> t0 -> Maybe (t0)						
			(Eq b1, Eq t0) => b1 -> t0 -> Maybe (t0)						
			(Eq b1, Ord t0) => b1 -> t0 -> Maybe (t0)						
			(Ord b1, Eq t0) => b1 -> t0 -> Maybe (t0)						
			(Ord b1, Ord t0) => b1 -> t0 -> Maybe (t0)						
test	Bool -> a -> Maybe a	True '\FS' ==> Just '\FS'	Bool -> t1 -> Maybe (t1)	3	1	62	16	1	2
		True -5.057067153053356 ==> Just (-5.057067153053356)	t1 -> t1 -> Maybe (t1)						
		True "\NULY\493414l_" ==> Just "\NULY\493414l_"	(Eq b1) => b1 -> t1 -> Maybe (t1)						
			(Ord b1) => b1 -> t1 -> Maybe (t1)						
			(Eq t1) => Bool -> t1 -> Maybe (t1)						
			(Ord t1) => Bool -> t1 -> Maybe (t1)						
			(Eq b1, Eq t1) => b1 -> t1 -> Maybe (t1)						
			(Eq b1, Ord t1) => b1 -> t1 -> Maybe (t1)						
