
Query Refinement
Query Name	 Query Str	 Solution	 Total Time(s)	                  Encoding Time(s)	 Solver Time(s)	 Iterations	                  Places	 Transitions
intToBytestring	Int64 -> ByteString	Right "Just Data.ByteString.Lazy.drop arg0 Data.ByteString.Lazy.empty	6.004005626	1.423548299	4.232285194	7	531	10
conjunctMaybe	['Maybe Bool] -> Bool']	Right "Just Data.Either.isRight (Data.Either.Right arg0)	0.972437749	0.251856702	0.6490095140000001	3	327	6
firstMaybe	a -> [Maybe a] -> a	Left Timeout	0.0	0.0	0.0	0		
both	(a	Left Timeout	0.0	0.0	0.0	0		
Q07	(a -> b -> c -> d) -> (a	Right "Just arg1 (fst (fst arg0)) (snd arg0) (snd (fst arg0))	1.5122351209999998	0.383696573	1.070613824	1	311	8
Q08	Maybe a -> a -> Maybe a	Right "Just Data.Maybe.Just (Data.Maybe.fromMaybe arg0 arg1)	1.059661906	0.235887779	0.726084527	4	324	7
Q12	Int -> [Int]	Right "Just (:) arg0 []	2.793017929	1.2272159900000001	1.2940430090000001	7	537	10
Q14	(a -> b -> c) -> (a -> b) -> a -> c	Right "Just arg2 arg0 (arg1 arg0)	7.448909132	0.997983647	6.296906952	5	481	9
Q15	a -> [a] -> ([a]	Left Timeout	0.0	0.0	0.0	0		
Q17	(t2 -> t1 -> t) -> (t1 -> t2) -> t1 -> t	Right "Just arg2 (arg1 arg0) arg0	2.880108602	0.7884619429999999	1.9376997969999998	5	481	9
Q21	String -> Char -> [String]	Right "Just (:) ((:) arg0 arg1) []	3.403837117	0.493452692	2.7234305579999996	5	387	9
Q22	a -> [a] -> Maybe a	Right "Just Data.Maybe.listToMaybe ((:) arg1 arg0)	1.950783251	0.351827822	1.245654296	5	397	9
Q26	Either a b -> Either a b -> Either a b	Right "Just Data.Bool.bool arg0 arg1 Data.Bool.False	1.244658506	0.293917286	0.7672095320000001	5	366	8
Q30	(a	Right "Just Data.Bool.bool arg0 arg1 Data.Bool.otherwise	12.105044239	1.639896411	8.435088387	9	897	18
Q34	['Either a b] -> Either a [b']	Left Timeout	0.0	0.0	0.0	0		
Q40	(a -> b) -> (a	Right "Just (	3.319623043	0.47517841299999997	2.681572167	4	392	9
Q41	['a] -> [b] -> [[(a']	Left Timeout	0.0	0.0	0.0	0		
Baseline
Query Name	 Query Str	 Solution	 Total Time(s)	                  Encoding Time(s)	 Solver Time(s)	 Iterations	                  Places	 Transitions
intToBytestring	Int64 -> ByteString	Right "Just Data.ByteString.Builder.toLazyByteString (Data.ByteString.Builder.int64HexFixed arg0)	5.074401106	3.1455117280000002	1.927399928	0		
conjunctMaybe	['Maybe Bool] -> Bool']	Right "Just Data.Either.isRight (Data.Either.Left arg0)	8.097972856	3.143490162	4.953150896	1	1543	26
firstMaybe	a -> [Maybe a] -> a	Right "Just Data.Maybe.fromMaybe arg1 (Data.Maybe.listToMaybe (Data.Maybe.catMaybes arg0))	30.34061166	4.2513220149999995	26.07080219299999	28	1616	27
both	(a	Right "Just (	78.40570259600001	5.699815733	72.63860410299996	73	1693	28
Q07	(a -> b -> c -> d) -> (a	Right "Just arg1 (fst (fst arg0)) (snd arg0) (snd (fst arg0))	26.273896957999998	7.308616413999999	18.951571999	1	1855	30
Q08	Maybe a -> a -> Maybe a	Right "Just Data.Maybe.Just (Data.Maybe.fromMaybe arg0 arg1)	7.948413888	4.262820947	3.684227783	0		
Q12	Int -> [Int]	Right "Just (:) arg0 []	11.43399071	3.262790252	8.16980915	1	1543	26
Q14	(a -> b -> c) -> (a -> b) -> a -> c	Right "Just arg2 arg0 (arg1 arg0)	25.151047945	6.144007665	19.005945967000002	0		
Q15	a -> [a] -> ([a]	Right "Just (	88.957879554	4.479260436	84.26378876699992	406	1616	27
Q17	(t2 -> t1 -> t) -> (t1 -> t2) -> t1 -> t	Right "Just arg2 (arg1 arg0) arg0	23.811400493	6.015173646	17.794683444	0		
Q21	String -> Char -> [String]	Left Timeout	0.0	0.0	0.0	0		
Q22	a -> [a] -> Maybe a	Right "Just Data.Maybe.listToMaybe ((:) arg1 arg0)	6.937911373	3.883265829	3.052970568	0		
Q26	Either a b -> Either a b -> Either a b	Right "Just Data.Bool.bool arg0 arg1 Data.Bool.otherwise	10.898157258000001	4.568937262	6.326559431	1	1691	28
Q30	(a	Right "Just Data.Bool.bool arg0 arg1 Data.Bool.otherwise	13.818675604000001	4.453156475999999	9.363042602	1	1691	28
Q34	['Either a b] -> Either a [b']	Right "Just Data.Either.Right (Data.Either.rights arg0)	35.181889109	4.240127286	30.930305163	25	1691	28
Q40	(a -> b) -> (a	Right "Just (	14.547968611	5.052151775	9.492831179	1	1693	28
Q41	['a] -> [b] -> [[(a']	Left Timeout	0.0	0.0	0.0	0		
Zero Cover Start
Query Name	 Query Str	 Solution	 Total Time(s)	                  Encoding Time(s)	 Solver Time(s)	 Iterations	                  Places	 Transitions
