Task 1: Flatten	[]	[[[]]]	[[[1,2],[3]],[[4]]]
\arg0 -> GHC.List.concat (GHC.List.concat arg0)	[]	[]	[1,2,3,4]
\arg0 -> GHC.List.head (GHC.List.concat arg0)	Prelude.head: empty list	[]	[1,2]
\arg0 -> GHC.List.last (GHC.List.concat arg0)	Prelude.last: empty list	[]	[4]
\arg0 -> GHC.List.concat (GHC.List.head arg0)	Prelude.head: empty list	[]	[1,2,3]
\arg0 -> GHC.List.head (GHC.List.head arg0)	Prelude.head: empty list	[]	[1,2]
\arg0 -> GHC.List.last (GHC.List.head arg0)	Prelude.head: empty list	[]	[3]
\arg0 -> GHC.List.concat (GHC.List.last arg0)	Prelude.last: empty list	[]	[4]
\arg0 -> GHC.List.head (GHC.List.last arg0)	Prelude.last: empty list	[]	[4]
\arg0 -> GHC.List.last (GHC.List.last arg0)	Prelude.last: empty list	[]	[4]
\arg0 -> GHC.List.concat (GHC.List.init (GHC.List.concat arg0))	Prelude.init: empty list	[]	[1,2,3]
